timestamp_utc,timestamp_cairo,source,gold_24k_sell,gold_24k_buy,gold_21k_sell,gold_21k_buy,gold_18k_sell,gold_18k_buy,gold_14k_sell,gold_14k_buy,gold_pound_coin,ounce_usd,usd_egp
2026-09-06 14:01:57,2026-09-06 17:01:57,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4428.95,50.8
2026-09-06 15:14:34,2026-09-06 18:14:34,gold-price-today.com,7245,7190,6340,6290,5435,5390,4225,4195,50720,4428.95,50.88
2026-09-06 15:19:05,2026-09-06 18:19:05,gold-price-today.com,7245,7190,6340,6290,5435,5390,4225,4195,50720,4428.95,50.88
2026-09-06 15:44:10,2026-09-06 18:44:10,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4428.95,50.8
2026-09-06 17:39:36,2026-09-06 20:39:36,gold-price-today.com,7250,7195,6345,6295,5440,5395,4230,4195,50760,4428.95,50.93
2026-09-06 17:45:12,2026-09-06 20:45:12,gold-price-today.com,7250,7195,6345,6295,5440,5395,4230,4195,50760,4428.95,50.93
2026-09-06 18:00:13,2026-09-06 21:00:13,gold-price-today.com,7245,7190,6340,6290,5435,5390,4225,4195,50720,4428.95,50.88
2026-09-06 18:34:04,2026-09-06 21:34:04,gold-price-today.com,7250,7195,6345,6295,5440,5395,4230,4195,50760,4428.95,50.93
2026-09-06 19:00:14,2026-09-06 22:00:14,gold-price-today.com,7250,7195,6345,6295,5440,5395,4230,4195,50760,4428.89,50.93
2026-09-06 20:00:14,2026-09-06 23:00:14,gold-price-today.com,7245,7190,6340,6290,5435,5390,4225,4195,50720,4428.89,50.89
2026-09-06 20:45:20,2026-09-06 23:45:20,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4428.89,50.81
2026-09-06 21:00:13,2026-09-07 00:00:13,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4428.89,50.81
2026-09-06 22:00:17,2026-09-07 01:00:17,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4428.89,50.81
2026-09-06 22:49:58,2026-09-07 01:49:58,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4428.89,50.81
2026-09-06 23:00:13,2026-09-07 02:00:13,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4432.23,50.77
2026-09-07 00:00:16,2026-09-07 03:00:16,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4424.39,50.86
2026-09-07 00:48:43,2026-09-07 03:48:43,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4424,50.86
2026-09-07 01:00:13,2026-09-07 04:00:13,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4424.19,50.86
2026-09-07 02:00:14,2026-09-07 05:00:14,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4414.82,50.97
2026-09-07 03:00:15,2026-09-07 06:00:15,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4416.57,50.95
2026-09-07 04:00:17,2026-09-07 07:00:17,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4403.15,51.1
2026-09-07 05:00:12,2026-09-07 08:00:12,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4396.96,51.17
2026-09-07 05:53:12,2026-09-07 08:53:12,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4404.51,51.09
2026-09-07 06:00:20,2026-09-07 09:00:20,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4404.51,51.09
2026-09-07 07:00:17,2026-09-07 10:00:17,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4397.54,51.17
2026-09-07 08:00:16,2026-09-07 11:00:16,gold-price-today.com,7265,7205,6355,6305,5445,5405,4235,4205,50840,4401.6,51.32
2026-09-07 09:00:14,2026-09-07 12:00:14,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4414.23,50.97
2026-09-07 10:00:17,2026-09-07 13:00:18,gold-price-today.com,7225,7165,6320,6270,5415,5375,4215,4180,50560,4409.37,50.95
2026-09-07 11:00:14,2026-09-07 14:00:14,gold-price-today.com,7205,7150,6305,6255,5405,5360,4205,4170,50440,4392.32,51.03
2026-09-07 12:00:14,2026-09-07 15:00:14,gold-price-today.com,7210,7155,6310,6260,5410,5365,4205,4175,50480,4387.5,51.12
2026-09-07 12:08:15,2026-09-07 15:08:15,gold-price-today.com,7210,7155,6310,6260,5410,5365,4205,4175,50480,4387.5,51.12
2026-09-07 13:00:17,2026-09-07 16:00:17,gold-price-today.com,7225,7165,6320,6270,5415,5375,4215,4180,50560,4397.15,51.09
2026-09-07 14:00:17,2026-09-07 17:00:17,gold-price-today.com,7225,7175,6320,6280,5415,5385,4215,4185,50560,4404.12,51.01
2026-09-07 15:00:15,2026-09-07 18:00:15,gold-price-today.com,7235,7175,6330,6280,5425,5385,4220,4185,50640,4414.82,50.97
2026-09-07 16:00:13,2026-09-07 19:00:13,gold-price-today.com,7225,7165,6320,6270,5415,5375,4215,4180,50560,4412.87,50.91
2026-09-07 17:00:16,2026-09-07 20:00:16,gold-price-today.com,7225,7165,6320,6270,5415,5375,4215,4180,50560,4413.65,50.9
2026-09-07 18:00:15,2026-09-07 21:00:15,gold-price-today.com,7215,7160,6315,6265,5415,5370,4210,4175,50520,4410.34,50.9
2026-09-07 19:00:15,2026-09-07 22:00:15,gold-price-today.com,7215,7160,6315,6265,5415,5370,4210,4175,50520,4405.09,50.96
